symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Skin,"Herpes – zoster (shingles), sometimes worsening at night",Burning neuralgic pain along nerve; vesicles; post-herpetic neuralgia or related discomfort,Ranunculus bulbosus,Buttercup,30C,3–5 pellets,3–4 times daily,Rest,"Wet weather, motion",Intercostal neuralgia; burning and itching vesicles; sore bruised feeling,Psora,Bulb Ranunculus bulbosus,Specific for intercostal herpes zoster,"Patient reports Herpes – zoster (shingles), sometimes worsening at night. Condition may relate to Burning neuralgic pain along nerve; vesicles; post-herpetic neuralgia or related discomfort. Suggested remedy: Skin (Potency: 30C)."
ENT,"Sore throat – fish-bone sensation, sometimes worsening at night",Sensation of fish-bone in throat; constant urge to swallow; worse empty swallowing or related discomfort,Argentum nitricum,Silver Nitrate,30C,3–5 pellets,3 times daily,"Cold, open air","Warm room, sweets, anticipation",Splinter-like pains; desire for sweets; apprehensive; hurried,Psora/Sycosis,Silver nitrate compound,Anticipatory anxiety with physical complaints,"Case description: Sore throat – fish-bone sensation, sometimes worsening at night. Associated condition: Sensation of fish-bone in throat; constant urge to swallow; worse empty swallowing or related discomfort. Appropriate remedy: ENT potency 30C."
Skin,"Acne – pustular, sometimes worsening at night",Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly,Open air,"Warmth, night, washing",Tendency to skin eruptions; unhealthy skin; slow healing wounds,Psora,Sulphur element,Constitutional approach needed,"Patient reports Acne – pustular, sometimes worsening at night. Condition may relate to Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort. Suggested remedy: Skin (Potency: 30C)."
Musculoskeletal,"Fibromyalgia, sometimes worsening at night",All-over body aching; worse cold; fatigue; sleep disturbance; tender points or related discomfort,Arnica montana,Mountain Arnica,200C,3–5 pellets,Twice weekly,"Rest, lying down","Touch, motion, damp cold",Bruised sore feeling; bed feels too hard; hypersensitive to touch,Psora,Whole plant Arnica montana,Constitutional treatment needed,"Case description: Fibromyalgia, sometimes worsening at night. Associated condition: All-over body aching; worse cold; fatigue; sleep disturbance; tender points or related discomfort. Appropriate remedy: Musculoskeletal potency 200C."
Skin,"Acne – pustular, sometimes worsening at night",Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly,Open air,"Warmth, night, washing",Tendency to skin eruptions; unhealthy skin; slow healing wounds,Psora,Sulphur element,Constitutional approach needed,"The patient complains of Acne – pustular, sometimes worsening at night. This could correspond to Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort. Remedy often used in such cases: Skin (30C)."
Musculoskeletal,"Backache – better lying, sometimes worsening at night",Backache with great weakness; must lie down; worse standing; better pressure or related discomfort,Nux vomica,Poison Nut,30C,3–5 pellets,3 times daily,"Lying, warm applications","Morning, mental exertion, cold",Spasmodic backache; cannot turn in bed; must sit up to turn,Psora,Seeds Strychnos nux-vomica,Spasmodic element is keynote,"Case description: Backache – better lying, sometimes worsening at night. Associated condition: Backache with great weakness; must lie down; worse standing; better pressure or related discomfort. Appropriate remedy: Musculoskeletal potency 30C."
Respiratory,"Common Cold – profuse watery discharge, sometimes worsening at night",Excoriating nasal discharge; bland eye discharge; worse indoors; better open air or related discomfort,Allium cepa,Red Onion,30C,3–5 pellets,3–4 times daily,"Open air, cold room","Warm room, evening",Acrid nasal discharge + bland eye discharge (opposite of Euphrasia),Psora,Red onion Allium cepa,Classic hay fever remedy,"Clinical presentation: Common Cold – profuse watery discharge, sometimes worsening at night. Possible condition: Excoriating nasal discharge; bland eye discharge; worse indoors; better open air or related discomfort. Suggested homeopathic treatment: Respiratory (30C)."
Skin,"Eczema – weeping, sometimes worsening at night",Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,"Patient reports Eczema – weeping, sometimes worsening at night. Condition may relate to Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort. Suggested remedy: Skin (Potency: 30C)."
ENT,"Vertigo, sometimes worsening at night",Vertigo with nausea; worse looking down or upward; better closing eyes or related discomfort,Conium maculatum,Hemlock,30C,3–5 pellets,Twice daily,Lying down,"Motion of head, looking down or up",Gradually increasing paralysis from below upward; dizziness worse from turning head,Syphilis,Whole plant Conium maculatum,Progressive neurological remedy,"Patient reports Vertigo, sometimes worsening at night. Condition may relate to Vertigo with nausea; worse looking down or upward; better closing eyes or related discomfort. Suggested remedy: ENT (Potency: 30C)."
Musculoskeletal,"Arthritis – better rest, sometimes worsening at night",Stitching pains; worse any motion; joints hot red swollen; must keep still or related discomfort,Bryonia alba,White Bryony,30C,3–5 pellets,3 times daily,"Absolute rest, pressure","Any motion, touch",Intense aggravation from any motion; irritable; thirsty for large quantities,Psora,Root Bryonia alba,Opposite of Rhus tox,"Patient reports Arthritis – better rest, sometimes worsening at night. Condition may relate to Stitching pains; worse any motion; joints hot red swollen; must keep still or related discomfort. Suggested remedy: Musculoskeletal (Potency: 30C)."
Skin,"Ringworm, sometimes worsening at night",Ringworm of scalp or body; bald spots; scaly itching eruptions or related discomfort,Sepia officinalis,Cuttlefish Ink,30C,3–5 pellets,Twice daily,"Exercise, warmth","Cold, before menses, morning",,,,,"Patient reports Ringworm, sometimes worsening at night. Condition may relate to Ringworm of scalp or body; bald spots; scaly itching eruptions or related discomfort. Suggested remedy: Skin (Potency: 30C)."
Paediatric,"ADHD – hyperactive, sometimes worsening at night",Impulsive; restless; short attention span; cannot sit still; destructive or related discomfort,Veratrum album,White Hellebore,30C,3–5 pellets,Twice daily (under guidance),Rest,"Cold, night, fright, exertion",Excess of everything; overactive; religious mania; coldness of body,Psora/Syphilis,Root Veratrum album,Constitutional treatment essential,"Clinical presentation: ADHD – hyperactive, sometimes worsening at night. Possible condition: Impulsive; restless; short attention span; cannot sit still; destructive or related discomfort. Suggested homeopathic treatment: Paediatric (30C)."
ENT,"Earache – chronic otitis, sometimes worsening at night",Chronic ear discharge; offensive pus; worse cold drafts; very sensitive or related discomfort,Hepar sulphuris calcareum,Calcium Sulphide,30C,3–5 pellets,3 times daily,"Warmth, wrapping ears","Cold, draft, touch",Extreme cold and touch sensitivity; splinter-like pains; offensive pus,Psora,Calcium sulphide compound,Protects from cold at all costs,"Symptoms observed include Earache – chronic otitis, sometimes worsening at night. These signs may indicate Chronic ear discharge; offensive pus; worse cold drafts; very sensitive or related discomfort. Recommended homeopathic medicine: ENT with potency 30C."
Paediatric,"Colic – wind, sometimes worsening at night",Baby draws legs up with pain; wind; gas; better warmth or related discomfort,Magnesia phosphorica,Magnesium Phosphate,30C dissolved in warm water,3–5 pellets,Every 15–30 min,"Warmth, pressure, warm drinks","Cold, night",Cramping; flatulent colic; better warmth and pressure applied,Psora,Magnesium phosphate salt,Dissolve in warm water for colic,"The patient complains of Colic – wind, sometimes worsening at night. This could correspond to Baby draws legs up with pain; wind; gas; better warmth or related discomfort. Remedy often used in such cases: Paediatric (30C dissolved in warm water)."
Paediatric,"Growing pains, sometimes worsening at night",Aching in legs at night; restless; must keep moving; better motion or related discomfort,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,At bedtime and if woken,"Motion, warmth","Rest, cold, first motion",Growing pains classic restless remedy,Psora,Leaves Toxicodendron radicans,,"Case description: Growing pains, sometimes worsening at night. Associated condition: Aching in legs at night; restless; must keep moving; better motion or related discomfort. Appropriate remedy: Paediatric potency 30C."
Urinary,"Kidney stones, sometimes worsening at night",Renal colic; violent cramping; blood in urine; pain radiates to groin or related discomfort,Berberis vulgaris,Barberry,30C,3–5 pellets,Every 30–60 min during colic,Rest,"Motion, standing, jarring",Radiating pains from kidney region; pale earthy complexion; bubbling sensation,Psora,Root bark Berberis vulgaris,Radiating pains are keynote,"Symptoms observed include Kidney stones, sometimes worsening at night. These signs may indicate Renal colic; violent cramping; blood in urine; pain radiates to groin or related discomfort. Recommended homeopathic medicine: Urinary with potency 30C."
ENT,"Tonsillitis – right-sided, sometimes worsening at night",Right-sided tonsillitis; pains extend to ear on swallowing; worse cold drinks or related discomfort,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,Warmth,"Cold drinks, touch, jar",Bright red tonsils; high fever; sudden onset; hot dry skin,Psora,Berries and root Atropa belladonna,,"Clinical presentation: Tonsillitis – right-sided, sometimes worsening at night. Possible condition: Right-sided tonsillitis; pains extend to ear on swallowing; worse cold drinks or related discomfort. Suggested homeopathic treatment: ENT (30C)."
Digestive,"Flatulence, sometimes worsening at night",Excessive gas; bloated abdomen; worse after eating; cannot pass gas or related discomfort,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,3 times daily,"Eructation, fanning, cold air","Lying down, warm room, evening",Tremendous bloating; putrid eructations; vital force low; craves fresh air,Psora,Vegetable charcoal,Almost no vital heat; craves air,"Patient reports Flatulence, sometimes worsening at night. Condition may relate to Excessive gas; bloated abdomen; worse after eating; cannot pass gas or related discomfort. Suggested remedy: Digestive (Potency: 30C)."
Respiratory,"Common Cold – profuse watery discharge, sometimes worsening at night",Excoriating nasal discharge; bland eye discharge; worse indoors; better open air or related discomfort,Allium cepa,Red Onion,30C,3–5 pellets,3–4 times daily,"Open air, cold room","Warm room, evening",Acrid nasal discharge + bland eye discharge (opposite of Euphrasia),Psora,Red onion Allium cepa,Classic hay fever remedy,"Clinical presentation: Common Cold – profuse watery discharge, sometimes worsening at night. Possible condition: Excoriating nasal discharge; bland eye discharge; worse indoors; better open air or related discomfort. Suggested homeopathic treatment: Respiratory (30C)."
